,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,unnamed_0,unnamed_0.1,unique_key,created_date,closed_date,location_type,incident_zip,incident_address,street_name,address_type,city,landmark,status,due_date,resolution_action_updated_date,community_board,borough,x_coordinate_(state_plane),y_coordinate_(state_plane),park_borough,latitude,longitude,days_open
10,10,10,10,10,192,47709167,2020-09-27T20:53:46,2020-09-27T20:53:46,3+ Family Apt. Building,10001.0,264 10 AVENUE,10 AVENUE,ADDRESS,NEW YORK,10 AVENUE,Closed,,09-27-2020 09:53:46 PM,04 MANHATTAN,MANHATTAN,983381.0,212192.0,MANHATTAN,40.7490945412246,-74.00313631640995,0.0
11,11,11,11,11,199,47707478,2020-09-27T13:21:49,,3+ Family Mixed Use Building,10013.0,GREENWICH STREET,GREENWICH STREET,,,,In Progress,,,01 MANHATTAN,MANHATTAN,981574.0,202607.0,MANHATTAN,40.72278572061389,-74.00965416521169,
12,12,12,12,12,202,47707472,2020-09-27T06:35:11,,3+ Family Apt. Building,11214.0,8815 17 AVENUE,17 AVENUE,,BROOKLYN,17 AVENUE,In Progress,,,11 BROOKLYN,BROOKLYN,981672.0,159449.0,BROOKLYN,40.60432661624039,-74.00928410995552,
13,13,13,13,13,213,47703328,2020-09-26T13:16:32,,1-2 Family Dwelling,10306.0,223 GRIMSBY STREET,GRIMSBY STREET,,STATEN ISLAND,GRIMSBY STREET,In Progress,,,02 STATEN ISLAND,STATEN ISLAND,957780.0,147980.0,STATEN ISLAND,40.57280736190728,-74.09528102210149,
14,14,14,14,14,214,47703220,2020-09-26T15:59:44,2020-09-26T15:59:44,3+ Family Mixed Use Building,10301.0,5 SLOSSON TERRACE,SLOSSON TERRACE,ADDRESS,STATEN ISLAND,SLOSSON TERRACE,Closed,,09-26-2020 04:59:44 PM,01 STATEN ISLAND,STATEN ISLAND,963218.0,172318.0,STATEN ISLAND,40.63962473841003,-74.07578227887873,0.0
15,15,15,15,15,251,47695202,2020-09-26T16:39:14,,Other (Explain Below),10013.0,39 VESTRY STREET,VESTRY STREET,,NEW YORK,VESTRY STREET,In Progress,,,01 MANHATTAN,MANHATTAN,981757.0,202579.0,MANHATTAN,40.72270892085246,-74.0089939484795,
16,16,16,16,16,255,47695139,2020-09-26T09:42:42,,Other (Explain Below),10309.0,CHARLESTON AVENUE,CHARLESTON AVENUE,,,,In Progress,,,03 STATEN ISLAND,STATEN ISLAND,923763.0,139425.0,STATEN ISLAND,40.549158790345565,-74.21765123760241,
17,17,17,17,17,275,47692332,2020-09-25T20:02:40,,1-2 Family Dwelling,11231.0,109 NELSON STREET,NELSON STREET,,BROOKLYN,NELSON STREET,In Progress,,,06 BROOKLYN,BROOKLYN,983908.0,185997.0,BROOKLYN,40.67719555118465,-74.00123298483213,
18,18,18,18,18,284,47690417,2020-09-25T09:02:43,2020-09-25T09:02:43,1-2 Family Dwelling,10312.0,24 BAMBERGER LANE,BAMBERGER LANE,ADDRESS,STATEN ISLAND,BAMBERGER LANE,Closed,,09-25-2020 10:02:43 AM,03 STATEN ISLAND,STATEN ISLAND,937801.0,136781.0,STATEN ISLAND,40.541986153049415,-74.16712009153666,0.0
19,19,19,19,19,287,47689763,2020-09-25T06:07:42,,1-2 Family Dwelling,10304.0,176 BOYD STREET,BOYD STREET,,STATEN ISLAND,BOYD STREET,In Progress,,,01 STATEN ISLAND,STATEN ISLAND,961692.0,167297.0,STATEN ISLAND,40.625839408112135,-74.08126395922507,
20,20,20,20,20,291,47689123,2020-09-26T11:27:57,,Commercial Building,10312.0,33 GETZ AVENUE,GETZ AVENUE,,STATEN ISLAND,GETZ AVENUE,In Progress,,,03 STATEN ISLAND,STATEN ISLAND,937942.0,143129.0,STATEN ISLAND,40.559410910157574,-74.16665623812767,
21,21,21,21,21,303,47688430,2020-09-25T10:16:48,,1-2 Family Dwelling,11232.0,341 42 STREET,42 STREET,,BROOKLYN,42 STREET,In Progress,,,07 BROOKLYN,BROOKLYN,981759.0,176672.0,BROOKLYN,40.65160014966342,-74.00897715470437,
22,22,22,22,22,337,47729179,2020-09-29T14:09:33,2020-09-29T14:09:33,3+ Family Apt. Building,10303.0,35 HOLLAND AVENUE,HOLLAND AVENUE,ADDRESS,STATEN ISLAND,HOLLAND AVENUE,Closed,,09-29-2020 03:09:33 PM,01 STATEN ISLAND,STATEN ISLAND,936721.0,172338.0,STATEN ISLAND,40.639577080952975,-74.17125595309919,0.0
23,23,23,23,23,343,47684388,2020-09-25T12:36:49,,1-2 Family Dwelling,11232.0,140 30 STREET,30 STREET,,BROOKLYN,30 STREET,In Progress,,,07 BROOKLYN,BROOKLYN,983709.0,179103.0,BROOKLYN,40.6582730469442,-74.00194987012868,
24,24,24,24,24,371,47675198,2020-09-24T19:17:13,2020-09-24T19:17:13,Commercial Building,11219.0,6005 FORT HAMILTON PARKWAY,FORT HAMILTON PARKWAY,ADDRESS,BROOKLYN,FT HAMILTON PARKWAY,Closed,,09-24-2020 08:17:13 PM,12 BROOKLYN,BROOKLYN,982670.0,169891.0,BROOKLYN,40.632987970326646,-74.00569247233379,0.0
25,25,25,25,25,420,47671951,2020-09-23T18:30:55,,1-2 Family Dwelling,10312.0,21 KENMORE STREET,KENMORE STREET,,STATEN ISLAND,KENMORE STREET,In Progress,,,03 STATEN ISLAND,STATEN ISLAND,934725.0,143908.0,STATEN ISLAND,40.56153172773315,-74.1782394602341,
26,26,26,26,26,434,47669325,2020-09-23T09:59:01,,1-2 Family Dwelling,10310.0,193 GREENLEAF AVENUE,GREENLEAF AVENUE,,STATEN ISLAND,GREENLEAF AVENUE,In Progress,,,01 STATEN ISLAND,STATEN ISLAND,949174.0,167198.0,STATEN ISLAND,40.625526954923465,-74.12635880261361,
27,27,27,27,27,451,47664803,2020-09-23T15:41:24,,Vacant Building,10310.0,84 ELM STREET,ELM STREET,,STATEN ISLAND,ELM STREET,In Progress,,,01 STATEN ISLAND,STATEN ISLAND,952526.0,172330.0,STATEN ISLAND,40.63962583340915,-74.11430759970565,
28,28,28,28,28,458,47663249,2020-09-23T17:05:29,,1-2 Family Dwelling,10312.0,122 CORTELYOU AVENUE,CORTELYOU AVENUE,,STATEN ISLAND,CORTELYOU AVENUE,In Progress,,,03 STATEN ISLAND,STATEN ISLAND,938629.0,142165.0,STATEN ISLAND,40.55676848093034,-74.16417732147245,
29,29,29,29,29,481,47676186,2020-09-24T13:51:30,,Other (Explain Below),11219.0,61 STREET,61 STREET,,,,In Progress,,,12 BROOKLYN,BROOKLYN,982500.0,169744.0,BROOKLYN,40.63258445452086,-74.00630491541253,
30,30,30,30,30,509,47644783,2020-09-21T14:26:44,2020-09-21T14:26:44,3+ Family Apt. Building,10012.0,109 THOMPSON STREET,THOMPSON STREET,ADDRESS,NEW YORK,THOMPSON STREET,Closed,,09-21-2020 03:26:44 PM,02 MANHATTAN,MANHATTAN,983713.0,203676.0,MANHATTAN,40.72572025487521,-74.0019374121808,0.0
31,31,31,31,31,515,47661630,2020-09-22T13:56:50,,3+ Family Apt. Building,11214.0,2072 20 LANE,20 LANE,,BROOKLYN,20 LANE,In Progress,,,11 BROOKLYN,BROOKLYN,983458.0,157097.0,BROOKLYN,40.597871193107906,-74.00285194110869,
32,32,32,32,32,522,47658639,2020-09-22T03:48:39,,1-2 Family Dwelling,10310.0,81 BODINE STREET,BODINE STREET,,STATEN ISLAND,BODINE STREET,In Progress,,,01 STATEN ISLAND,STATEN ISLAND,949410.0,171195.0,STATEN ISLAND,40.63649879509378,-74.12552926453962,
33,33,33,33,33,535,47656023,2020-09-22T07:04:13,,3+ Family Apt. Building,10282.0,41 RIVER TERRACE,RIVER TERRACE,,NEW YORK,RIVER TERRACE,In Progress,,,01 MANHATTAN,MANHATTAN,980224.0,200838.0,MANHATTAN,40.71792973064566,-74.01452348183929,
34,34,34,34,34,557,47627887,2020-09-19T23:31:58,2020-09-19T23:31:58,1-2 Family Dwelling,10312.0,763 ARDEN AVENUE,ARDEN AVENUE,ADDRESS,STATEN ISLAND,ARDEN AVENUE,Closed,,09-19-2020 12:31:58 PM,03 STATEN ISLAND,STATEN ISLAND,934660.0,138080.0,STATEN ISLAND,40.54553465103945,-74.17843066871053,0.0
35,35,35,35,35,560,47626091,2020-09-19T22:29:42,2020-09-19T22:29:42,1-2 Family Dwelling,11209.0,619 81 STREET,81 STREET,ADDRESS,BROOKLYN,81 STREET,Closed,,09-19-2020 11:29:42 PM,10 BROOKLYN,BROOKLYN,978249.0,166382.0,BROOKLYN,40.623354612554934,-74.02161746606141,0.0
36,36,36,36,36,578,47611630,2020-09-18T10:43:01,,3+ Family Apt. Building,11220.0,505 57 STREET,57 STREET,,BROOKLYN,57 STREET,In Progress,,,07 BROOKLYN,BROOKLYN,980366.0,172794.0,BROOKLYN,40.640955375895096,-74.01399506491221,
37,37,37,37,37,601,47647481,2020-09-21T13:07:34,,3+ Family Apt. Building,10012.0,109 THOMPSON STREET,THOMPSON STREET,,NEW YORK,THOMPSON STREET,In Progress,,,02 MANHATTAN,MANHATTAN,983713.0,203676.0,MANHATTAN,40.72572025487521,-74.0019374121808,
38,38,38,38,38,606,47646266,2020-09-21T15:36:35,,1-2 Family Dwelling,10306.0,16 MAPLETON AVENUE,MAPLETON AVENUE,,STATEN ISLAND,MAPLETON AVENUE,In Progress,,,02 STATEN ISLAND,STATEN ISLAND,958473.0,148613.0,STATEN ISLAND,40.5745468638849,-74.09278892498072,
39,39,39,39,39,610,47646047,2020-09-21T12:59:50,,1-2 Family Dwelling,10302.0,19 LEXINGTON AVENUE,LEXINGTON AVENUE,,STATEN ISLAND,LEXINGTON AVENUE,In Progress,,,01 STATEN ISLAND,STATEN ISLAND,947359.0,169016.0,STATEN ISLAND,40.63050960437353,-74.13290713842589,
40,40,40,40,40,616,47641408,2020-09-20T12:57:37,,1-2 Family Mixed Use Building,10314.0,257 GARRISON AVENUE,GARRISON AVENUE,,STATEN ISLAND,GARRISON AVENUE,In Progress,,,01 STATEN ISLAND,STATEN ISLAND,945564.0,165364.0,STATEN ISLAND,40.620477985862586,-74.13935304026428,
41,41,41,41,41,630,47636433,2020-09-20T07:29:14,,1-2 Family Dwelling,10312.0,246 JAMIE LANE,JAMIE LANE,,STATEN ISLAND,JAMIE LANE,In Progress,,,03 STATEN ISLAND,STATEN ISLAND,933009.0,143984.0,STATEN ISLAND,40.561730582672034,-74.18441586696856,
42,42,42,42,42,646,47652723,2020-09-21T18:11:31,,1-2 Family Dwelling,10302.0,16 INNIS STREET,INNIS STREET,,STATEN ISLAND,INNIS STREET,In Progress,,,01 STATEN ISLAND,STATEN ISLAND,944862.0,170139.0,STATEN ISLAND,40.633581246853794,-74.14190961486828,
43,43,43,43,43,662,47631072,2020-09-19T16:03:58,,Other (Explain Below),10011.0,421 WEST   22 STREET,WEST   22 STREET,,NEW YORK,WEST   22 STREET,In Progress,,,04 MANHATTAN,MANHATTAN,983566.0,211105.0,MANHATTAN,40.7461110157198,-74.0024685205443,
44,44,44,44,44,694,47595531,2020-09-17T07:52:45,2020-09-17T07:52:45,1-2 Family Mixed Use Building,11220.0,513 57 STREET,57 STREET,ADDRESS,BROOKLYN,57 STREET,Closed,,09-17-2020 08:52:45 AM,07 BROOKLYN,BROOKLYN,980401.0,172766.0,BROOKLYN,40.64087853717623,-74.01386893481289,0.0
45,45,45,45,45,699,47621908,2020-09-18T07:45:20,,3+ Family Apt. Building,10014.0,19 BARROW STREET,BARROW STREET,,NEW YORK,BARROW STREET,In Progress,,,02 MANHATTAN,MANHATTAN,983460.0,206174.0,MANHATTAN,40.73257663565498,-74.00285048996116,
46,46,46,46,46,709,47588508,2020-09-16T14:11:59,2020-09-16T14:11:59,1-2 Family Dwelling,10310.0,52 ROE STREET,ROE STREET,ADDRESS,STATEN ISLAND,ROE STREET,Closed,,09-16-2020 03:11:59 PM,01 STATEN ISLAND,STATEN ISLAND,950446.0,169802.0,STATEN ISLAND,40.63267932406257,-74.12178956118152,0.0
47,47,47,47,47,712,47587032,2020-09-17T00:24:31,,3+ Family Apt. Building,11214.0,1864 85 STREET,85 STREET,,BROOKLYN,85 STREET,In Progress,,,11 BROOKLYN,BROOKLYN,984062.0,160437.0,BROOKLYN,40.607038847514744,-74.00067706888173,
48,48,48,48,48,718,47581241,2020-09-16T09:30:50,2020-09-16T09:30:50,1-2 Family Dwelling,10305.0,150 FOCH AVENUE,FOCH AVENUE,ADDRESS,STATEN ISLAND,FOCH AVENUE,Closed,,09-16-2020 10:30:50 AM,02 STATEN ISLAND,STATEN ISLAND,963563.0,155409.0,STATEN ISLAND,40.59321386668171,-74.07448737110782,0.0
49,49,49,49,49,720,47633202,2020-09-19T21:39:12,,Construction Site,10012.0,148 SULLIVAN STREET,SULLIVAN STREET,,NEW YORK,SULLIVAN STREET,In Progress,,,02 MANHATTAN,MANHATTAN,983738.0,204186.0,MANHATTAN,40.72712008229162,-74.00184725488505,
50,50,50,50,50,729,47598314,2020-09-17T20:26:53,,1-2 Family Dwelling,10312.0,5 DIERAUF STREET,DIERAUF STREET,,STATEN ISLAND,DIERAUF STREET,In Progress,,,03 STATEN ISLAND,STATEN ISLAND,934601.0,143932.0,STATEN ISLAND,40.56159690955647,-74.17868590865044,
51,51,51,51,51,738,47596985,2020-09-17T08:33:49,,Other (Explain Below),11209.0,7713 SHORE ROAD,SHORE ROAD,,BROOKLYN,SHORE ROAD,In Progress,,,10 BROOKLYN,BROOKLYN,973663.0,169532.0,BROOKLYN,40.63199640565456,-74.03814260191585,
52,52,52,52,52,740,47596965,2020-09-17T05:41:48,,Commercial Building,11209.0,457 86 STREET,86 STREET,,BROOKLYN,86 STREET,In Progress,,,10 BROOKLYN,BROOKLYN,976708.0,165920.0,BROOKLYN,40.6220853413059,-74.0271681102458,
53,53,53,53,53,744,47596706,2020-09-17T20:29:07,,1-2 Family Dwelling,10312.0,40 TYNAN STREET,TYNAN STREET,,STATEN ISLAND,TYNAN STREET,In Progress,,,03 STATEN ISLAND,STATEN ISLAND,934494.0,144172.0,STATEN ISLAND,40.562255062122105,-74.17907276451494,
54,54,54,54,54,770,47603966,2020-09-18T13:51:19,,Vacant Lot,10312.0,5060 HYLAN BOULEVARD,HYLAN BOULEVARD,,STATEN ISLAND,HYLAN BOULEVARD,In Progress,,,03 STATEN ISLAND,STATEN ISLAND,935531.0,131231.0,STATEN ISLAND,40.526740292578545,-74.1752474145718,
55,55,55,55,55,793,47591298,2020-09-17T20:30:46,,1-2 Family Dwelling,10312.0,4 DIERAUF STREET,DIERAUF STREET,,STATEN ISLAND,DIERAUF STREET,In Progress,,,03 STATEN ISLAND,STATEN ISLAND,934611.0,143927.0,STATEN ISLAND,40.561583241534045,-74.1786498822203,
56,56,56,56,56,819,47572313,2020-09-15T19:54:55,2020-09-15T19:54:55,1-2 Family Dwelling,11209.0,8818 COLONIAL ROAD,COLONIAL ROAD,ADDRESS,BROOKLYN,COLONIAL ROAD,Closed,,09-15-2020 08:54:55 PM,10 BROOKLYN,BROOKLYN,973953.0,166303.0,BROOKLYN,40.62313382253271,-74.03709287053704,0.0
57,57,57,57,57,822,47589701,2020-09-16T23:26:14,,3+ Family Apt. Building,10310.0,809 DELAFIELD AVENUE,DELAFIELD AVENUE,,STATEN ISLAND,DELAFIELD AVENUE,In Progress,,,01 STATEN ISLAND,STATEN ISLAND,949385.0,168176.0,STATEN ISLAND,40.62821218954935,-74.12560374292214,
58,58,58,58,58,824,47589437,2020-09-16T08:28:42,,1-2 Family Dwelling,10305.0,150 FOCH AVENUE,FOCH AVENUE,,STATEN ISLAND,FOCH AVENUE,In Progress,,,02 STATEN ISLAND,STATEN ISLAND,963563.0,155409.0,STATEN ISLAND,40.59321386668171,-74.07448737110782,
59,59,59,59,59,834,47585903,2020-09-16T18:26:45,,3+ Family Apt. Building,10301.0,5 SLOSSON TERRACE,SLOSSON TERRACE,,STATEN ISLAND,SLOSSON TERRACE,In Progress,,,01 STATEN ISLAND,STATEN ISLAND,963218.0,172318.0,STATEN ISLAND,40.63962473841003,-74.07578227887873,
60,60,60,60,60,837,47584786,2020-09-16T15:19:03,,1-2 Family Dwelling,11209.0,577 BAY RIDGE PARKWAY,BAY RIDGE PARKWAY,,BROOKLYN,BAY RIDGE PARKWAY,In Progress,,,10 BROOKLYN,BROOKLYN,978422.0,168259.0,BROOKLYN,40.62850669896496,-74.02099588699764,
61,61,61,61,61,856,47581259,2020-09-16T16:59:13,,1-2 Family Dwelling,10312.0,19 KENMORE STREET,KENMORE STREET,,STATEN ISLAND,KENMORE STREET,In Progress,,,03 STATEN ISLAND,STATEN ISLAND,934713.0,143986.0,STATEN ISLAND,40.5617457552133,-74.17828321920744,
62,62,62,62,62,871,47567852,2020-09-14T12:30:39,2020-09-14T12:30:39,Other (Explain Below),10310.0,52 ROE STREET,ROE STREET,ADDRESS,STATEN ISLAND,ROE STREET,Closed,,09-14-2020 01:30:39 PM,01 STATEN ISLAND,STATEN ISLAND,950446.0,169802.0,STATEN ISLAND,40.63267932406257,-74.12178956118152,0.0
63,63,63,63,63,888,47504129,2020-09-08T20:13:12,2020-09-08T20:13:12,Construction Site,10310.0,52 ROE STREET,ROE STREET,ADDRESS,STATEN ISLAND,ROE STREET,Closed,,09-08-2020 09:13:12 PM,01 STATEN ISLAND,STATEN ISLAND,950446.0,169802.0,STATEN ISLAND,40.63267932406257,-74.12178956118152,0.0
64,64,64,64,64,889,47432809,2020-09-01T15:49:44,2020-09-01T15:49:44,3+ Family Apt. Building,11214.0,1429 SHORE PARKWAY,SHORE PARKWAY,ADDRESS,BROOKLYN,SHORE PARKWAY,Closed,,09-01-2020 04:49:44 PM,11 BROOKLYN,BROOKLYN,982607.0,157397.0,BROOKLYN,40.598694515551706,-74.00591641038264,0.0
65,65,65,65,65,924,47573597,2020-09-15T23:20:02,,3+ Family Apt. Building,10301.0,283A JERSEY STREET,JERSEY STREET,,STATEN ISLAND,JERSEY STREET,In Progress,,,01 STATEN ISLAND,STATEN ISLAND,960135.0,172839.0,STATEN ISLAND,40.64104691376102,-74.08689276705644,
66,66,66,66,66,934,47572045,2020-09-15T13:10:21,,1-2 Family Dwelling,10312.0,337 POMPEY AVENUE,POMPEY AVENUE,,STATEN ISLAND,POMPEY AVENUE,In Progress,,,03 STATEN ISLAND,STATEN ISLAND,936519.0,138782.0,STATEN ISLAND,40.5474717032483,-74.17174673726849,
67,67,67,67,67,943,47550504,2020-09-13T00:07:11,2020-09-13T00:07:11,Other (Explain Below),11209.0,333 OVINGTON AVENUE,OVINGTON AVENUE,ADDRESS,BROOKLYN,OVINGTON AVENUE,Closed,,09-13-2020 01:07:11 AM,10 BROOKLYN,BROOKLYN,977142.0,170451.0,BROOKLYN,40.634522340502905,-74.02560950899898,0.0
68,68,68,68,68,980,47566953,2020-09-14T14:00:51,,1-2 Family Dwelling,10312.0,69 PERKIOMEN AVENUE,PERKIOMEN AVENUE,,STATEN ISLAND,PERKIOMEN AVENUE,In Progress,,,03 STATEN ISLAND,STATEN ISLAND,936644.0,141873.0,STATEN ISLAND,40.55595656464863,-74.17131871274145,
69,69,69,69,69,986,47565907,2020-09-14T17:40:18,,1-2 Family Dwelling,10312.0,9 GOLD AVENUE,GOLD AVENUE,,STATEN ISLAND,GOLD AVENUE,In Progress,,,03 STATEN ISLAND,STATEN ISLAND,934798.0,142685.0,STATEN ISLAND,40.558175242498024,-74.17796779300845,
70,70,70,70,70,1005,47560927,2020-09-14T06:24:47,,3+ Family Apt. Building,10011.0,442 WEST   20 STREET,WEST   20 STREET,,NEW YORK,WEST   20 STREET,In Progress,,,04 MANHATTAN,MANHATTAN,983148.0,210755.0,MANHATTAN,40.74515031122289,-74.00397700352775,
71,71,71,71,71,1025,47558159,2020-09-13T12:26:46,,Construction Site,10013.0,18 LEONARD STREET,LEONARD STREET,,NEW YORK,LEONARD STREET,In Progress,,,01 MANHATTAN,MANHATTAN,982033.0,201112.0,MANHATTAN,40.718682433094365,-74.00799774534799,
72,72,72,72,72,1055,47547900,2020-09-12T13:05:31,,Other (Explain Below),11214.0,8918 21 AVENUE,21 AVENUE,,BROOKLYN,21 AVENUE,In Progress,,,11 BROOKLYN,BROOKLYN,983705.0,157003.0,BROOKLYN,40.597613200728674,-74.00196250239708,
73,73,73,73,73,1073,47542396,2020-09-12T19:30:22,,3+ Family Apt. Building,10011.0,401 WEST   22 STREET,WEST   22 STREET,,NEW YORK,WEST   22 STREET,In Progress,,,04 MANHATTAN,MANHATTAN,983694.0,211034.0,MANHATTAN,40.74591614749777,-74.00200656930994,
74,74,74,74,74,1086,47527694,2020-09-10T09:17:09,2020-09-10T09:17:09,1-2 Family Dwelling,10310.0,193 GREENLEAF AVENUE,GREENLEAF AVENUE,ADDRESS,STATEN ISLAND,GREENLEAF AVENUE,Closed,,09-10-2020 10:17:09 AM,01 STATEN ISLAND,STATEN ISLAND,949174.0,167198.0,STATEN ISLAND,40.625526954923465,-74.12635880261361,0.0
75,75,75,75,75,1099,47521060,2020-09-10T08:44:54,2020-09-10T08:44:54,Other (Explain Below),11209.0,9201 SHORE ROAD,SHORE ROAD,ADDRESS,BROOKLYN,SHORE ROAD,Closed,,09-10-2020 09:44:54 AM,10 BROOKLYN,BROOKLYN,973013.0,165417.0,BROOKLYN,40.62070079530708,-74.04047755611404,0.0
76,76,76,76,76,1107,47537966,2020-09-11T10:54:12,,1-2 Family Dwelling,10301.0,696 METROPOLITAN AVENUE,METROPOLITAN AVENUE,,STATEN ISLAND,METROPOLITAN AVENUE,In Progress,,,01 STATEN ISLAND,STATEN ISLAND,955719.0,167442.0,STATEN ISLAND,40.62622017951513,-74.10278195973251,
77,77,77,77,77,1114,47535730,2020-09-11T12:24:42,,1-2 Family Dwelling,10314.0,275 SOUTH GREENLEAF AVENUE,SOUTH GREENLEAF AVENUE,,STATEN ISLAND,SOUTH GREENLEAF AVENUE,In Progress,,,01 STATEN ISLAND,STATEN ISLAND,949513.0,164124.0,STATEN ISLAND,40.617090810331504,-74.1251217631901,
78,78,78,78,78,1127,47531226,2020-09-11T14:10:37,,3+ Family Mixed Use Building,10014.0,42 GROVE STREET,GROVE STREET,,NEW YORK,GROVE STREET,In Progress,,,02 MANHATTAN,MANHATTAN,983026.0,206243.0,MANHATTAN,40.73276597429578,-74.00441646788242,
79,79,79,79,79,1144,47514993,2020-09-09T16:30:25,2020-09-09T16:30:25,Commercial Building,10014.0,3 HORATIO STREET,HORATIO STREET,ADDRESS,NEW YORK,HORATIO STREET,Closed,,09-09-2020 05:30:25 PM,02 MANHATTAN,MANHATTAN,983237.0,208427.0,MANHATTAN,40.73876054196342,-74.0036554611754,0.0
80,80,80,80,80,1148,47512589,2020-09-09T09:13:46,2020-09-09T09:13:46,1-2 Family Dwelling,10306.0,296 FAIRBANKS AVENUE,FAIRBANKS AVENUE,ADDRESS,STATEN ISLAND,FAIRBANKS AVENUE,Closed,,09-09-2020 10:13:46 AM,03 STATEN ISLAND,STATEN ISLAND,949523.0,142477.0,STATEN ISLAND,40.55767421191511,-74.12497450144494,0.0
81,81,81,81,81,1154,47529304,2020-09-10T09:04:45,,3+ Family Apt. Building,11220.0,5617 5 AVENUE,5 AVENUE,,BROOKLYN,5 AVENUE,In Progress,,,07 BROOKLYN,BROOKLYN,980376.0,173026.0,BROOKLYN,40.641592170519054,-74.01395916551978,
82,82,82,82,82,1168,47526407,2020-09-10T14:36:35,,Construction Site,10310.0,52 ROE STREET,ROE STREET,,STATEN ISLAND,ROE STREET,In Progress,,,01 STATEN ISLAND,STATEN ISLAND,950446.0,169802.0,STATEN ISLAND,40.63267932406257,-74.12178956118152,
83,83,83,83,83,1171,47525145,2020-09-11T08:34:20,,1-2 Family Dwelling,10310.0,257 BEMENT AVENUE,BEMENT AVENUE,,STATEN ISLAND,BEMENT AVENUE,In Progress,,,01 STATEN ISLAND,STATEN ISLAND,953030.0,171009.0,STATEN ISLAND,40.636001764134825,-74.11248548178006,
84,84,84,84,84,1181,47523880,2020-09-10T08:56:36,,3+ Family Apt. Building,11224.0,2911 WEST   36 STREET,WEST   36 STREET,,BROOKLYN,WEST   36 STREET,In Progress,,,13 BROOKLYN,BROOKLYN,983790.0,148541.0,BROOKLYN,40.57438669915667,-74.00165584804918,
85,85,85,85,85,1182,47522853,2020-09-10T14:42:17,,1-2 Family Dwelling,10314.0,28 JOAN PLACE,JOAN PLACE,,STATEN ISLAND,JOAN PLACE,In Progress,,,01 STATEN ISLAND,STATEN ISLAND,949641.0,164294.0,STATEN ISLAND,40.61755792551132,-74.1246615825978,
